"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\packages\gde\src\mode_profiles\mode_profile.py", "Python", 127, 126, 31, 284
"c:\Users\ankit\Downloads\xace\packages\gde\src\question_engine\question_engine.py", "Python", 215, 70, 35, 320
"c:\Users\ankit\Downloads\xace\packages\gde\src\question_engine\question_session_manager.py", "Python", 171, 153, 56, 380
"Total", "-", 513, 349, 122, 984
