"filename", "language", "C#", "Rust", "Python", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\packages\observability\src\http_server.rs", "Rust", 0, 107, 0, 44, 19, 170
"c:\Users\ankit\Downloads\xace\packages\observability\src\lib.rs", "Rust", 0, 15, 0, 39, 3, 57
"c:\Users\ankit\Downloads\xace\packages\observability\src\metrics.rs", "Rust", 0, 176, 0, 58, 46, 280
"c:\Users\ankit\Downloads\xace\packages\observability\src\metrics_registry.rs", "Rust", 0, 104, 0, 28, 28, 160
"c:\Users\ankit\Downloads\xace\packages\observability\src\observable.rs", "Rust", 0, 96, 0, 76, 41, 213
"c:\Users\ankit\Downloads\xace\packages\observability\src\tick_ring_buffer.rs", "Rust", 0, 114, 0, 48, 28, 190
"c:\Users\ankit\Downloads\xace\packages\observability\src\trace.rs", "Rust", 0, 144, 0, 52, 43, 239
"c:\Users\ankit\Downloads\xace\packages\observability\src\tracer.rs", "Rust", 0, 167, 0, 66, 53, 286
"c:\Users\ankit\Downloads\xace\packages\observability\tests\test_crash_reporter.rs", "Rust", 0, 102, 0, 10, 18, 130
"c:\Users\ankit\Downloads\xace\packages\observability\tests\test_metrics.rs", "Rust", 0, 139, 0, 7, 23, 169
"c:\Users\ankit\Downloads\xace\packages\observability\tests\test_trace.rs", "Rust", 0, 97, 0, 8, 13, 118
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\archetype.rs", "Rust", 0, 169, 0, 86, 39, 294
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\archetype_index.rs", "Rust", 0, 86, 0, 46, 28, 160
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\archetype_storage.rs", "Rust", 0, 230, 0, 104, 55, 389
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\mod.rs", "Rust", 0, 8, 0, 9, 0, 17
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\storage_router.rs", "Rust", 0, 59, 0, 35, 12, 106
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\storage_strategy.rs", "Rust", 0, 43, 0, 59, 18, 120
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\mod.rs", "Rust", 0, 4, 0, 0, 0, 4
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\sorted_merge_iterator.rs", "Rust", 0, 89, 0, 63, 22, 174
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\vectorized_query.rs", "Rust", 0, 63, 0, 34, 19, 116
"Total", "-", 223, 6416, 889, 2804, 1757, 12089
