"filename", "language", "Rust", "Python", "C++", "JSON", "C#", "TypeScript", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\packages\core\src\errors\xace_error.rs", "Rust", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\ankit\Downloads\xace\packages\core\src\events\event_struct.rs", "Rust", -8, 0, 0, 0, 0, 0, 0, 1, -7
"c:\Users\ankit\Downloads\xace\packages\core\src\events\event_type.rs", "Rust", 2, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\ankit\Downloads\xace\packages\core\src\events\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\dsl_operation.rs", "Rust", -26, 0, 0, 0, 0, 0, 0, 1, -25
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\mutation_transaction.rs", "Rust", -12, 0, 0, 0, 0, 0, 0, 1, -11
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\schema_delta.rs", "Rust", -6, 0, 0, 0, 0, 0, 0, 1, -5
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\execution_group.rs", "Rust", -10, 0, 0, 0, 0, 0, 0, 1, -9
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\execution_plan.rs", "Rust", -16, 0, 0, 0, 0, 0, 0, 1, -15
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\phase_enum.rs", "Rust", -14, 0, 0, 0, 0, 0, 0, 1, -13
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\state_delta.rs", "Rust", -4, 0, 0, 0, 0, 0, 0, 1, -3
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\world_snapshot.rs", "Rust", -19, 0, 0, 0, 0, 0, 0, 1, -18
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\actor_definition.rs", "Rust", -3, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\canonical_game_schema.rs", "Rust", -4, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\game_mode.rs", "Rust", -12, 0, 0, 0, 0, 0, 0, 1, -11
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\rule_definition.rs", "Rust", -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\system_definition.rs", "Rust", -2, 0, 0, 0, 0, 0, 0, 1, -1
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\world_definition.rs", "Rust", 16, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\authority_component.rs", "Rust", -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\collider_component.rs", "Rust", 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\event_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\game_state_component.rs", "Rust", -2, 0, 0, 0, 0, 0, 0, 1, -1
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\identity_component.rs", "Rust", -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\input_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\lifetime_component.rs", "Rust", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\render_component.rs", "Rust", -1, 0, 0, 0, 0, 0, 0, 1, 0
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\transform_component.rs", "Rust", 17, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\ucl_registry.rs", "Rust", -9, 0, 0, 0, 0, 0, 0, 0, -9
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\velocity_component.rs", "Rust", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\delta_payload.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\feedback_payload.rs", "Rust", -16, 0, 0, 0, 0, 0, 0, 1, -15
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\message_type.rs", "Rust", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\snapshot_payload.rs", "Rust", -7, 0, 0, 0, 0, 0, 0, 1, -6
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\wire_message.rs", "Rust", -35, 0, 0, 0, 0, 0, 0, 1, -34
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\build.rs", "Rust", -2, 0, 0, 0, 0, 0, 0, 1, -1
"c:\Users\ankit\Downloads\xace\packages\network-core\src\authority\authority_resolver.rs", "Rust", 35, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\ankit\Downloads\xace\packages\network-core\src\authority\authority_transfer.rs", "Rust", 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\ankit\Downloads\xace\packages\network-core\src\authority\cheat_guard.rs", "Rust", 106, 0, 0, 0, 0, 0, 0, 12, 118
"c:\Users\ankit\Downloads\xace\packages\network-core\src\authority\mod.rs", "Rust", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\ankit\Downloads\xace\packages\network-core\src\input\input_broadcaster.rs", "Rust", 62, 0, 0, 0, 0, 0, 0, 9, 71
"c:\Users\ankit\Downloads\xace\packages\network-core\src\input\input_buffer.rs", "Rust", 322, 0, 0, 0, 0, 0, 0, 47, 369
"c:\Users\ankit\Downloads\xace\packages\network-core\src\input\input_delay_manager.rs", "Rust", 195, 0, 0, 0, 0, 0, 0, 30, 225
"c:\Users\ankit\Downloads\xace\packages\network-core\src\input\input_log.rs", "Rust", 156, 0, 0, 0, 0, 0, 0, 24, 180
"c:\Users\ankit\Downloads\xace\packages\network-core\src\input\input_packet.rs", "Rust", 366, 0, 0, 0, 0, 0, 0, 37, 403
"c:\Users\ankit\Downloads\xace\packages\network-core\src\input\input_synchroniser.rs", "Rust", 293, 0, 0, 0, 0, 0, 0, 40, 333
"c:\Users\ankit\Downloads\xace\packages\network-core\src\input\mod.rs", "Rust", 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\ankit\Downloads\xace\packages\network-core\src\lib.rs", "Rust", 53, 0, 0, 0, 0, 0, 6, 15, 74
"c:\Users\ankit\Downloads\xace\packages\network-core\src\prediction\client_predictor.rs", "Rust", 35, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\ankit\Downloads\xace\packages\network-core\src\prediction\mod.rs", "Rust", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ankit\Downloads\xace\packages\network-core\src\prediction\prediction_buffer.rs", "Rust", 29, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\ankit\Downloads\xace\packages\network-core\src\prediction\reconciliation_engine.rs", "Rust", 48, 0, 0, 0, 0, 0, 0, 6, 54
"c:\Users\ankit\Downloads\xace\packages\network-core\src\prediction\rollback_manager.rs", "Rust", 43, 0, 0, 0, 0, 0, 0, 8, 51
"c:\Users\ankit\Downloads\xace\packages\network-core\src\replication\interest_zone_manager.rs", "Rust", 29, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\ankit\Downloads\xace\packages\network-core\src\replication\mod.rs", "Rust", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\ankit\Downloads\xace\packages\network-core\src\replication\relevance_filter.rs", "Rust", 30, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\ankit\Downloads\xace\packages\network-core\src\replication\replication_manager.rs", "Rust", 31, 0, 0, 0, 0, 0, 0, 8, 39
"c:\Users\ankit\Downloads\xace\packages\network-core\src\session\connection_state.rs", "Rust", 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\ankit\Downloads\xace\packages\network-core\src\session\mod.rs", "Rust", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ankit\Downloads\xace\packages\network-core\src\session\peer.rs", "Rust", 32, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\ankit\Downloads\xace\packages\network-core\src\session\peer_manager.rs", "Rust", 60, 0, 0, 0, 0, 0, 0, 14, 74
"c:\Users\ankit\Downloads\xace\packages\network-core\src\session\session_manager.rs", "Rust", 66, 0, 0, 0, 0, 0, 0, 16, 82
"c:\Users\ankit\Downloads\xace\packages\network-core\src\synchronisation\desync_detector.rs", "Rust", 52, 0, 0, 0, 0, 0, 0, 8, 60
"c:\Users\ankit\Downloads\xace\packages\network-core\src\synchronisation\late_join_handler.rs", "Rust", 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\ankit\Downloads\xace\packages\network-core\src\synchronisation\mod.rs", "Rust", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ankit\Downloads\xace\packages\network-core\src\synchronisation\resync_engine.rs", "Rust", 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\ankit\Downloads\xace\packages\network-core\src\synchronisation\tick_barrier.rs", "Rust", 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ankit\Downloads\xace\packages\network-core\tests\test_cheat_guard.rs", "Rust", 44, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\ankit\Downloads\xace\packages\network-core\tests\test_client_prediction.rs", "Rust", 41, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\ankit\Downloads\xace\packages\network-core\tests\test_desync_detection.rs", "Rust", 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\ankit\Downloads\xace\packages\network-core\tests\test_input_synchroniser.rs", "Rust", 134, 0, 0, 0, 0, 0, 0, 21, 155
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\bin\xace_runtime.rs", "Rust", 52, 0, 0, 0, 0, 0, -9, 7, 50
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\builtin_systems.rs", "Rust", 33, 0, 0, 0, 0, 0, -26, -5, 2
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\cgs_loader.rs", "Rust", 24, 0, 0, 0, 0, 0, 8, 0, 32
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\archetype.rs", "Rust", 6, 0, 0, 0, 0, 0, 0, -2, 4
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\archetype_index.rs", "Rust", 5, 0, 0, 0, 0, 0, 0, -1, 4
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\archetype_storage.rs", "Rust", 60, 0, 0, 0, 0, 0, 0, -1, 59
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\component_table.rs", "Rust", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\component_table_store.rs", "Rust", -25, 0, 0, 0, 0, 0, 0, 1, -24
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\sorted_entity_map.rs", "Rust", -1, 0, 0, 0, 0, 0, 0, 1, 0
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\storage_router.rs", "Rust", 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\storage_strategy.rs", "Rust", 2, 0, 0, 0, 0, 0, 0, -3, -1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\tests\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\tests\test_component_tables.rs", "Rust", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\dcl\character\animation_event_system.rs", "Rust", -19, 0, 0, 0, 0, 0, 0, 0, -19
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\dcl\character\animation_layer_manager.rs", "Rust", -9, 0, 0, 0, 0, 0, 0, 1, -8
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\dcl\character\animation_state_validator.rs", "Rust", -18, 0, 0, 0, 0, 0, 0, 1, -17
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\dcl\character\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\dcl\character\tests\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\dcl\character\tests\test_animation_event_system.rs", "Rust", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\dcl\character\tests\test_animation_layers.rs", "Rust", -2, 0, 0, 0, 0, 0, 0, 1, -1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\dcl\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\determinism_guard\determinism_guard.rs", "Rust", 37, 0, 0, 0, 0, 0, 0, 0, 37
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\determinism_guard\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\determinism_guard\replay_validator.rs", "Rust", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\determinism_guard\rng_interceptor.rs", "Rust", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\determinism_guard\tests\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\determinism_guard\tests\test_determinism_guard.rs", "Rust", 48, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\determinism_guard\world_hasher.rs", "Rust", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\engine_bridge.rs", "Rust", 227, 0, 0, 0, 0, 0, 37, 31, 295
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\engine_protocol.rs", "Rust", 384, 0, 0, 0, 0, 0, 65, 43, 492
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\entity_store\entity_archive.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\entity_store\entity_id_generator.rs", "Rust", 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\entity_store\entity_store.rs", "Rust", -31, 0, 0, 0, 0, 0, 0, 1, -30
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\entity_store\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\entity_store\tests\mod.rs", "Rust", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\entity_store\tests\test_entity_store.rs", "Rust", -5, 0, 0, 0, 0, 0, 0, 1, -4
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\event_bus\event_bus.rs", "Rust", -3, 0, 0, 0, 0, 0, 0, 1, -2
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\event_bus\event_dispatcher.rs", "Rust", -10, 0, 0, 0, 0, 0, 0, 1, -9
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\event_bus\event_subscription_registry.rs", "Rust", -7, 0, 0, 0, 0, 0, 0, 1, -6
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\event_bus\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\event_bus\tests\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\event_bus\tests\test_event_bus.rs", "Rust", -5, 0, 0, 0, 0, 0, 0, 1, -4
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\lib.rs", "Rust", 3, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\mutation_gate\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\mutation_gate\mutation_gate.rs", "Rust", 37, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\mutation_gate\mutation_queue.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\mutation_gate\mutation_validator.rs", "Rust", -6, 0, 0, 0, 0, 0, 0, 1, -5
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\mutation_gate\tests\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\mutation_gate\tests\test_mutation_gate.rs", "Rust", 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\phase_orchestrator\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\phase_orchestrator\parallel_executor.rs", "Rust", 9, 0, 0, 0, 0, 0, 0, 0, 9
