"filename", "language", "Markdown", "JSON with Comments", "pip requirements", "C++", "JSON", "C#", "TypeScript JSX", "Python", "Rust", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\packages\core\src\events\event_type.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 195, 120, 50, 365
"c:\Users\ankit\Downloads\xace\packages\core\src\events\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 2, 8
"c:\Users\ankit\Downloads\xace\packages\core\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 2, 16
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\dsl_operation.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 457, 175, 70, 702
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 2, 13
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\mutation_transaction.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 427, 163, 78, 668
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\schema_delta.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 307, 99, 57, 463
"c:\Users\ankit\Downloads\xace\packages\core\src\mutation\usmc_categories.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 127, 117, 29, 273
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\execution_group.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 279, 100, 38, 417
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\execution_plan.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 340, 128, 61, 529
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 2, 14
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\phase_enum.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 179, 89, 32, 300
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\state_delta.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 324, 155, 66, 545
"c:\Users\ankit\Downloads\xace\packages\core\src\runtime\world_snapshot.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 503, 226, 103, 832
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\actor_definition.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 298, 149, 61, 508
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\canonical_game_schema.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 266, 133, 57, 456
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\game_mode.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 191, 106, 44, 341
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 3, 17
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\rule_definition.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 304, 167, 64, 535
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\system_definition.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 347, 153, 70, 570
"c:\Users\ankit\Downloads\xace\packages\core\src\schema\world_definition.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 313, 155, 82, 550
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\ai_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\animation_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\authority_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 210, 111, 50, 371
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\camera_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\collider_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 211, 102, 58, 371
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\damage_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\event_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 196, 128, 43, 367
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\game_state_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 237, 109, 58, 404
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\health_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\identity_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 159, 71, 31, 261
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\input_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 152, 93, 39, 284
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\interaction_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\inventory_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\lifetime_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 208, 87, 41, 336
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 26, 1, 1, 28
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\movement_intent_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\persistence_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\render_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 182, 104, 44, 330
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\rigidbody_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\spawner_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\stats_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\surface_properties_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\transform_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 111, 46, 27, 184
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\trigger_zone_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\ucl_registry.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 289, 119, 54, 462
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\velocity_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 174, 79, 38, 291
"c:\Users\ankit\Downloads\xace\packages\core\src\ucl\world_streaming_component.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\delta_payload.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 347, 153, 74, 574
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\feedback_payload.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 287, 171, 81, 539
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\message_type.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 129, 88, 26, 243
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 2, 14
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\snapshot_payload.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 329, 142, 68, 539
"c:\Users\ankit\Downloads\xace\packages\core\src\wire\wire_message.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 373, 130, 58, 561
"c:\Users\ankit\Downloads\xace\packages\dcl\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\ankit\Downloads\xace\packages\dcl\ai\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 174, 0, 12, 3, 189
"c:\Users\ankit\Downloads\xace\packages\dcl\audio\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 146, 0, 11, 3, 160
"c:\Users\ankit\Downloads\xace\packages\dcl\camera\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 131, 0, 10, 3, 144
"c:\Users\ankit\Downloads\xace\packages\dcl\character\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 257, 0, 15, 3, 275
"c:\Users\ankit\Downloads\xace\packages\dcl\combat\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 213, 0, 12, 2, 227
"c:\Users\ankit\Downloads\xace\packages\dcl\dcl_loader.py", "Python", 0, 0, 0, 0, 0, 0, 0, 356, 0, 215, 87, 658
"c:\Users\ankit\Downloads\xace\packages\dcl\dcl_registry.py", "Python", 0, 0, 0, 0, 0, 0, 0, 500, 0, 185, 79, 764
